topic_label,topic
0,Accountability
1,Asset purchase programme (APP)
2,Bank failure
3,Bank profitability
4,Bank resolution
5,Banking regulation
6,Banking sector
7,Banking supervision
8,Banking union
9,Banknotes and coins
10,Basel III
11,Benchmark rates
12,Bitcoin
13,Brexit
14,Capital key
15,Capital markets union
16,Central bank digital currencies (CBDC)
17,Central bank independence
18,Central banking
19,Central counterparties (CCPs)
20,Climate change
21,Collateral
22,Communication
23,Coronavirus
24,Crypto-assets
25,Currencies
26,Cyber resilience
27,Deposit facility rate
28,Digital euro
29,Digitalisation
30,Distributed ledger technology (DLT)
31,Diversity and inclusion
32,Economic and Monetary Union (EMU)
33,Economic development
34,Emergency liquidity assistance (ELA)
35,Euro
36,Euro area
37,Euro overnight index average (EONIA)
38,Euro short-term rate (€STR)
39,European integration
40,Excess reserves
41,Exchange rates
42,Financial assets
43,Financial crisis
44,Financial integration
45,Financial market infrastructures
46,Financial markets
47,Financial stability
48,Fintech
49,Fiscal policy
50,Forward guidance
51,Governance
52,Haircuts
53,History of the euro
54,Inflation
55,Innovation
56,Instant payments
57,Interest rates
58,International relations
59,International role of the euro
60,Key ECB interest rates
61,Labour market
62,Legal framework
63,Liquidity
64,Liquidity lines
65,Macroprudential policy
66,Main refinancing operations (MRO) rate
67,Marginal lending facility rate
68,Microprudential policy
69,Minimum reserve requirements
70,Monetary policy
71,Money
72,Non-performing loans
73,Outright Monetary Transactions (OMTs)
74,Pandemic emergency longer-term refinancing operations (PELTROs)
75,Pandemic emergency purchase programme (PEPP)
76,Payment systems
77,Policies
78,Price stability
79,Profits
80,Protectionism
81,Repo lines
82,Resilience
83,Risks
84,Rules and procedures
85,Russia-Ukraine war
86,Russian war against Ukraine
87,Sanctions
88,Securities
89,Statistics and data
90,Strategy review
91,Stress tests
92,Structural reforms
93,Swap lines
94,TARGET Instant Payment Settlement (TIPS)
95,TARGET2
96,Targeted longer-term refinancing operations (TLTROs)
97,Technology
98,Trade
99,Transmission Protection Instrument (TPI)
100,Two-tier system
101,Uncertainties
